ident,id,distance
CSN6284,CSN6284-1535606749-airline-0547,19.736027215626947
CSN8670,CSN8670-1535606749-airline-0070,29.207951870263194
CSN3107,CSN3107-1535606749-airline-0185,32.49583779509169
CHH7136,CHH7136-1535606751-airline-0050,32.870431571530844
CSN6118,CSN6118-1535606749-airline-0104,33.2302635774101
CSN6447,CSN6447-1535606749-airline-0405,33.416707381970504
CHH7612,CHH7612-1535606751-airline-0010,33.67048230214858
CES2036,CES2036-1535606754-airline-0239,40.6532088103907
CCA1360,CCA1360-1535606748-airline-0241,44.842304141080035
CSC8548,CSC8548-1535606745-airline-0558,47.675334902363595
CCA947,CCA947-1535606748-airline-0181,48.05012225545144
CSN6136,CSN6136-1535606749-airline-0501,48.862727974690095
CSN6599,CSN6599-1535606749-airline-0220,49.69791987513268
GDC7180,GDC7180-1535606749-airline-0300,52.75309999065036
CCA1494,CCA1494-1535606748-airline-0098,53.04156575371552
CSN3171,CSN3171-1535606749-airline-0044,54.54086449915063
CCA1226,CCA1226-1535606748-airline-0338,58.322888398510905
CUA5826,CUA5826-1535606752-airline-0186,60.95006670797242
CHH7106,CHH7106-1535606751-airline-0126,62.48365196838766
CSZ9163,CSZ9163-1535606759-airline-0217,65.01826409707056
CBJ5212,CBJ5212-1535606751-airline-0366,76.92578622078831
CSN6164,CSN6164-1535606749-airline-0259,79.37067220849544
GDC7140,GDC7140-1535606749-airline-0291,89.10359556194237
OKA2878,OKA2878-1535606748-airline-0046,107.93975561175266
CSZ9164,CSZ9164-1535606759-airline-0304,109.1405802718941
CHH7232,CHH7232-1535606751-airline-0308,113.36906653570556
CSZ9754,CSZ9754-1535606759-airline-0205,113.87742586623848
CRK362,CRK362-1535606751-airline-0106,114.2974246861794
CHH7650,CHH7650-1535606751-airline-0452,118.30515210127696
CES5166,CES5166-1535606754-airline-0060,132.53877250219728
CSN3915,CSN3915-1535606749-airline-0189,145.57359716373884
CES5186,CES5186-1535606754-airline-0170,147.18667259193955
CSN6713,CSN6713-1535606749-airline-0459,158.12791812213763
CSC8401,CSC8401-1535606745-airline-0467,186.8116025421932
CUA5900,CUA5900-1535606752-airline-0016,189.128132784846
CES2852,CES2852-1535606754-airline-0069,190.03202948182565
THY91,THY91-1535606756-airline-0119,203.01991155245665
OKA2966,OKA2966-1535606748-airline-0237,206.44019725167135
CBJ5241,CBJ5241-1535606751-airline-0068,218.51019388437032
CCA1150,CCA1150-1535606748-airline-0195,223.2476212715789
CUA2308,CUA2308-1535606752-airline-0051,232.43003886612908
HBH3306,HBH3306-1535606754-airline-0152,232.43003886612908
CQH8627,CQH8627-1535606746-airline-0246,240.26991913694727
GCR7908,GCR7908-1535606751-airline-0189,249.86370067153698
CCA1460,CCA1460-1535606748-airline-0218,252.47137274960073
UAE323,UAE323-1535606750-airline-0134,275.2198873244101
CCA1486,CCA1486-1535606748-airline-0498,281.6463325638866
CSZ9111,CSZ9111-1535606759-airline-0040,302.4128307951889
CCA1388,CCA1388-1535606748-airline-0050,302.4173352638606
CDG4856,CDG4856-1535606755-airline-0477,315.5969649959455
CDG8772,CDG8772-1535606755-airline-0356,332.2040275416782
CDC8654,CDC8654-1535606751-airline-0129,347.5828193804531
CSC8916,CSC8916-1535606745-airline-0019,352.8065006989229
AFL200,AFL200-1535606756-airline-0294,353.9918674015114
CHH7176,CHH7176-1535606751-airline-0470,355.6297028469409
CHH7738,CHH7738-1535606751-airline-0553,371.3608813950452
GCR7902,GCR7902-1535606751-airline-0296,372.46695486960834
CCA1346,CCA1346-1535606748-airline-0451,375.0207609455225
CSN6478,CSN6478-1535606749-airline-0411,378.62059043810814
CES5176,CES5176-1535606754-airline-0061,387.89743483594845
CSN6436,CSN6436-1535606749-airline-0186,392.93189253791644
MAS360,MAS360-1535606753-airline-0053,393.0070776152422
CDG4900,CDG4900-1535606755-airline-0309,393.41793825902585
CSN8268,CSN8268-1535606749-airline-0120,395.7998018783972
HXA2795,HXA2795-1535606750-airline-0457,395.9177854848087
CSN3736,CSN3736-1535606749-airline-0463,397.4431326891133
GCR7806,GCR7806-1535606751-airline-0108,398.8900399231672
CDG8858,CDG8858-1535606755-airline-0158,410.6150603753721
CHH7198,CHH7198-1535606751-airline-0476,413.04136712132004
CDG8816,CDG8816-1535606755-airline-0382,416.7002343485639
CCA1292,CCA1292-1535606748-airline-0408,422.9419278258388
QDA9790,QDA9790-1535640000-schedule-0001,427.9344286172623
9H8400,9H8400-1535606746-airline-0462,430.0810984382566
HBH3242,HBH3242-1535606754-airline-0171,431.24391204066774
CSN3126,CSN3126-1535606749-airline-0307,432.41831538344053
CSC8699,CSC8699-1535606745-airline-0565,435.75370121798477
CSC8232,CSC8232-1535606745-airline-0386,435.88418254953564
CCA1466,CCA1466-1535606748-airline-0505,437.08695270573224
CHH7558,CHH7558-1535606751-airline-0208,437.14402533076674
CDG4738,CDG4738-1535606755-airline-0204,442.63366337964067
CDG4916,CDG4916-1535606755-airline-0295,453.31285235132225
CSN6128,CSN6128-1535606749-airline-0053,453.31285235132225
CES2390,CES2390-1535606754-airline-0510,457.0639098715759
CSN6484,CSN6484-1535606749-airline-0408,466.99974816350476
CES5136,CES5136-1535606754-airline-0142,468.3046492947522
CDG4714,CDG4714-1535606755-airline-0311,472.8536822341137
CES5517,CES5517-1535606754-airline-0554,473.8400495306064
CDG4912,CDG4912-1535606755-airline-0514,478.07365552625924
CES2438,CES2438-1535606754-airline-0414,480.5467056518592
OKA2884,OKA2884-1535606748-airline-0211,480.78820622987814
CSN6141,CSN6141-1535606749-airline-0076,487.180028217976
CSN6180,CSN6180-1535606749-airline-0426,487.4709411871764
CHB6328,CHB6328-1535606755-airline-0069,490.4051655160588
QDA9882,QDA9882-1535639700-schedule-0001,497.2912225663829
CSN6302,CSN6302-1535606749-airline-0011,498.9792392990872
KAL859,KAL859-1535606752-airline-0086,504.32001935713174
HXA2684,HXA2684-1535606750-airline-0353,505.91878927433805
CES5521,CES5521-1535606754-airline-0241,510.45777230321164
CUA5912,CUA5912-1535606752-airline-0042,511.01449878322643
CUA2810,CUA2810-1535606752-airline-0147,519.6774330187866
GCR6596,GCR6596-1535591700-schedule-0001,520.4431135512278
CSN6250,CSN6250-1535606749-airline-0314,520.7168711701127
LTU4302,LTU4302-1535606753-airline-0095,520.8229573701658
QDA9866,QDA9866-1535638500-schedule-0001,524.9038796988738
CCA1496,CCA1496-1535606748-airline-0243,525.9881198822809
CQH8592,CQH8592-1535606746-airline-0198,527.3446745693061
QDA9812,QDA9812-1535640600-schedule-0001,532.3775697343277
CSN6540,CSN6540-1535606749-airline-0571,537.6155758687729
CHH7888,CHH7888-1535606751-airline-0026,554.5340030448342
CDG4688,CDG4688-1535606755-airline-0111,563.4386107737168
ABL341,ABL341-1535606748-airline-0243,569.8773235474175
CQH8854,CQH8854-1535606746-airline-0254,570.588936304841
CES2922,CES2922-1535606754-airline-0325,574.3917665849891
GCR7656,GCR7656-1535606751-airline-0103,582.6348034456951
CDG4646,CDG4646-1535606755-airline-0172,586.0888484993444
CQH8928,CQH8928-1535606746-airline-0147,588.3619401974867
CQH8919,CQH8919-1535606746-airline-0145,598.1941336730996
CCA1456,CCA1456-1535606748-airline-0112,608.1799071662616
CSZ9366,CSZ9366-1535606759-airline-0059,625.3109542715538
CDG1190,CDG1190-1535606755-airline-0296,628.0117428370532
CSN3080,CSN3080-1535606749-airline-0497,637.1689220955742
CHB6262,CHB6262-1535606755-airline-0154,639.6693851284679
CSC8372,CSC8372-1535606745-airline-0176,646.6543057351229
